,cod_reg_rbd,nom_reg_rbd_a,cod_com_rbd,nom_com_rbd,cod_depe2,rural_rbd,cod_ense2,cod_jor,mrun,gen_alu_x,edad_alu,cod_reg_alu,prom_gral,asistencia,codigo_unico,gen_alu_y,anio_ing_carr_ori,tipo_inst_3,_merge
62395,13,RM,13402,BUIN,3,0,5,3,14084163,2,18,13,"6,8",93,I71S1C6J1V1,2,2021,Universidades Estatales CRUCH,both
29511,13,RM,13132,VITACURA,1,0,5,3,22695573,2,17,13,"6,8",61,I430S14C131J2V1,2,2021,Centros de Formación Técnica,both
44646,5,VALPO,5804,VILLA ALEMANA,2,0,5,1,22730921,1,17,5,"6,7",74,I20S3C102J1V1,1,2021,Universidades Privadas,both
53844,8,BBIO,8102,CORONEL,2,0,5,3,10604890,1,17,8,"6,4",90,I39S2C56J1V1,1,2021,Universidades Privadas,both
33044,13,RM,13120,ÑUÑOA,1,0,5,3,10303102,2,17,13,"5,8",100,I2S1C15J1V1,2,2021,Universidades Privadas,both
32534,13,RM,13113,LA REINA,2,0,5,3,16836325,1,17,13,"6,3",95,I71S1C101J1V1,1,2021,Universidades Estatales CRUCH,both
26918,13,RM,13101,SANTIAGO,1,0,5,1,12394461,1,17,13,"6,4",90,I50S2C212J1V1,1,2021,Universidades Privadas,both
4234,4,COQ,4101,LA SERENA,2,0,5,3,23751397,1,18,4,"6,9",95,I91S2C29J1V2,1,2021,Universidades Privadas CRUCH,both
29320,13,RM,13101,SANTIAGO,2,0,7,1,22724847,1,17,13,"6,2",100,I3S1C4J1V2,1,2021,Universidades Privadas CRUCH,both
56922,11,AYSEN,11101,COYHAIQUE,1,0,5,3,14143697,2,17,11,7,100,I895S1C3J1V1,2,2021,Universidades Estatales CRUCH,both
25958,12,MAG,12101,PUNTA ARENAS,1,0,7,3,11348562,2,18,12,"6,6",100,I77S1C167J2V1,2,2021,Universidades Estatales CRUCH,both
65997,13,RM,13128,RENCA,1,0,5,3,22223079,2,17,13,7,85,I70S1C160J1V1,2,2021,Universidades Estatales CRUCH,both
39596,13,RM,13201,PUENTE ALTO,2,0,7,3,16563234,2,18,13,"6,5",100,I111S5C103J1V1,2,2021,Institutos Profesionales,both
